"","tmax_pre","tmax_during","tmax_after","tmean_pre","tmean_during","tmean_after","ppt_2pre","ppt_1pre","ppt_post","vpdmax_pre","vpdmax_after","vpdmax_during","plot"
"F10-3-051",16.8875000874201,16.6991666555405,18.9108329614003,9.50958357254664,8.97708324591319,10.7837498386701,27.4699999945504,34.0342862265451,17.3242855668068,18.2366667985916,22.4391665458679,18.6808334986369,"F10_3_051"
"F00-1-004",18.0674998760223,20.6391666332881,18.7708332935969,9.63999974727631,11.5595833063126,10.1641667882601,27.5700003760202,14.4685711179461,16.3771427699498,20.7608333428701,23.0041665236155,25.3650000095367,"F00_1_004"
"F00-3-019",17.4199996789296,19.2041667699814,19.1266667048136,9.46083314220111,9.76958338419596,10.1775000890096,37.7885714258466,19.1742856161935,25.9957146644592,18.4074998696645,21.8275001446406,21.6166666348775,"F00_3_019"
"F01-1-XX9",17.1333334048589,18.9233332872391,18.8375000158946,9.4116666217645,9.765416542689,10.1545832554499,39.8842856543405,20.9571427617754,26.7614281177521,18.0525000095367,21.5074997345606,21.2841667334239,"F01_1_XX9"
"F01-2-X10",13.4291665752729,14.9949999252955,15.1449999809265,7.33958319822947,8.06000010172526,8.4554167787234,51.8542859213693,35.7114285060338,36.0885719571795,13.29416680336,16.5558329423269,16.4883330663045,"F01_2_X10"
"F02-1-XX6",16.1108333865802,16.9008335272471,18.993333419164,7.95875004927317,7.84166683753331,9.77250001827876,35.9485707964216,18.527143069676,29.3757140977042,17.0183335940043,20.150833328565,18.9416665037473,"F02_1_XX6"
"F02-2-XX7",18.5841668844223,18.8241663773855,18.2925001780192,9.65833355983098,9.84416655699412,9.33499999841054,26.6314287185669,19.371429000582,27.1214283534459,21.1258331934611,21.0558334589005,22.3549996217092,"F02_2_XX7"
"F02-3-XX5",18.9249999125799,19.2233330408732,18.9533334175746,10.282916645209,10.4112498362859,10.0612502098083,29.4271427222661,16.614285673414,24.2957138334002,20.9674999713898,21.4275000890096,22.3925000230471,"F02_3_XX5"
"F03-3-111",18.2633334795634,18.6658334334691,18.2908335526784,10.5366668701172,10.7033335367839,10.3266666332881,31.7214282240186,18.4514284815107,26.6285709653582,20.1150000095367,20.7200002670288,21.6075002352397,"F03_3_111"
"F04-1-120",18.1858332554499,18.2633334795634,18.6658334334691,10.0804167091846,10.5366668701172,10.7033335367839,25.1142854690552,31.7214282240186,18.4514284815107,20.122499704361,21.6075002352397,20.1150000095367,"F04_1_120"
"F04-2-125",18.1858332554499,18.2633334795634,18.6658334334691,10.0804167091846,10.5366668701172,10.7033335367839,25.1142854690552,31.7214282240186,18.4514284815107,20.122499704361,21.6075002352397,20.1150000095367,"F04_2_125"
"F04-3-134",18.2083332935969,18.1333332856496,18.3241666356723,8.80166677633921,9.20666640996933,9.38374997178713,23.1671425955636,26.7699999468667,17.3585714101791,20.3475000063578,21.6475000182788,20.5491664409637,"F04_3_134"
"F05-1-X11",16.2533333102862,16.0966663956642,16.1616667111715,9.34666646520297,9.36416667699814,9.33916672070821,23.2442854472569,44.4014289719718,38.8899999346052,18.2941669821739,17.3925000429153,15.8600000143051,"F05_1_X11"
"F05-1-ZZ1",16.8166666428248,16.3016668607791,16.9191667834918,9.51875013113022,8.46166674296061,8.42750026782354,32.8528573172433,38.5257146699088,18.1814285687038,16.449166893959,18.6824996670087,17.0716669162114,"F05_1_ZZ1"
"F05-2-149",18.4116667310397,18.1716667016347,18.2733334700267,9.77125012874603,9.6837500333786,9.75458325942357,18.3671433585031,37.4499997411455,33.7100005831037,20.9433332681656,19.7591665188471,18.1433335542679,"F05_2_149"
"F05-3-154",18.4116667310397,18.1716667016347,18.2733334700267,9.77125012874603,9.6837500333786,9.75458325942357,18.3671433585031,37.4499997411455,33.7100005831037,20.9433332681656,19.7591665188471,18.1433335542679,"F05_3_154"
"F06-1-160",16.0966663956642,16.1616667111715,15.6125000913938,9.36416667699814,9.33916672070821,8.96749989191691,44.4014289719718,38.8899999346052,37.0885713441031,15.8600000143051,16.2149999936422,17.3925000429153,"F06_1_160"
"F06-2-165",16.0966663956642,16.1616667111715,15.6125000913938,9.36416667699814,9.33916672070821,8.96749989191691,44.4014289719718,38.8899999346052,37.0885713441031,15.8600000143051,16.2149999936422,17.3925000429153,"F06_2_165"
"F06-3-173",16.0966663956642,16.1616667111715,15.6125000913938,9.36416667699814,9.33916672070821,8.96749989191691,44.4014289719718,38.8899999346052,37.0885713441031,15.8600000143051,16.2149999936422,17.3925000429153,"F06_3_173"
"F10-1-XX3",15.3024999698003,15.5075000921885,15.1999999483426,9.07583328088125,9.08166664838791,8.72708331545194,53.3171433040074,44.9357136317662,42.4899999073574,14.7016665538152,15.3566666046778,16.2508333126704,"F10_1_XX3"
"F10-2-XX2",15.5349999864896,16.133333325386,16.6558331847191,9.56291660666466,9.8762499888738,10.0716666181882,39.9514280046736,53.4971430642264,24.9357139042446,16.5533333619436,19.0208334128062,18.0475000143051,"F10_2_XX2"
